facilitycode,facilitycodestd,facilitytype,pkbout,pkbmsgexclusions,ukrdcoutpkb,pvoutpkb,startdate,enddate,firstdataquarter,pkboutstartdate,radar_out,enabled_radar_extracts
RJ122,RR1+,Paediatric Renal Centre,True,,False,True,2025-09-17 12:47:03.142,,116,,False,
RJ2,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ224,RR1+,Adult Renal Centre,True,,False,True,,,93,,False,
RJ230,RR1+,Adult Renal Centre,True,,False,True,,,116,,False,
RJ501,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ50X,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ50Z,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ6,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ701,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ707,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJ866,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJE01,RR1+,Adult Renal Centre,True,,False,True,2025-06-12 14:15:02.747,,112,,False,
RJH01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJL,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJN71,RR1+,Adult Renal Centre,True,,False,True,,,111,,False,
RJR01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJR05,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJU01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJZ01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RJZW,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RK7CC,RR1+,Adult Renal Centre,True,,False,True,2024-07-07 21:10:27.344,,112,,False,
RK950,RR1+,Adult Renal Centre,True,,False,True,,,120,,False,
RKB01,RR1+,Adult Renal Centre,True,,False,True,2025-03-30 12:50:59.915,,113,,False,
RKB02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RKC81,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RKGA1,RR1+,Adult Renal Centre,True,"[""ADT_A28""]",True,True,,,,,False,
RKHA4,RR1+,Adult Renal Centre,True,"[""ADT_A28""]",True,True,,,115,,False,
RKM,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RKTAG,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RKUAJ,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RKZDA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RL109,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RL301,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RL403,RR1+,Adult Renal Centre,True,,False,True,2025-07-02 19:00:31.208,,115,,False,
RL7,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RL701,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLBCH,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLE,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLGAY,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLNGH,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLQ02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLW01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RLZ01,RR1+,Adult Renal Centre,True,,False,True,2025-04-08 21:13:15.081,,115,,False,
RM102,RR1+,Adult Renal Centre,True,,False,True,,,114,,False,
RM131,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RM202,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RM3,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RM301,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RM403,RR1+,Adult Renal Centre,True,,False,True,,,111,,False,
RM574,RR1+,Adult Renal Centre,True,,False,True,2025-06-04 08:43:18.634,,2,,False,
RMB05,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RMC00,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RMF01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RML03,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RMP01,RR1+,Adult Renal Centre,True,,False,True,,,111,,False,
RMW10,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RN506,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RN7,RR1+,Adult Renal Centre,True,,False,True,,,49,,False,
RN704,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNA01,RR1+,Adult Renal Centre,True,,False,True,,,116,,False,
RNA03,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNG10,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNLBX,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNQ51,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNS15,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RNX02,RR1+,Adult Renal Centre,True,,False,True,2025-04-08 21:13:31.539,,112,,False,
RNZ02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RP4,RR1+,Paediatric Renal Centre,True,,False,True,,,,,False,
RP5,RR1+,Adult Renal Centre,True,,False,True,,,113,,False,
RP5BA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RP5MM,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPC20,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPD01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPG04,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPK40,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPL04,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RPW02,RR1+,Adult Renal Centre,True,,False,True,,,66,,False,
RQ3,RR1+,Paediatric Renal Centre,True,,False,True,,,,,False,
RQ503,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQ601,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQ617,RR1+,Adult Renal Centre,True,,False,True,,,115,,False,
RQ8L0,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQ8LJ,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQAAM,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQBAU,RR1+,Adult Renal Centre,True,"[""ADT_A28""]",True,True,,,,,False,
RQHC7,RR1+,Adult Renal Centre,True,"[""ADT_A28""]",True,True,,,,,False,
RQN01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQN02,RR1+,Adult Renal Centre,True,,False,True,,,113,,False,
RQQ31,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQR13,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQR14,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQS01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQV00,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQW,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
RQWG0,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RQZ03,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RR201,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RR6BL,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RR803,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RR9,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RRBBV,RR1+,Adult Renal Centre,True,"[""ADT_A28""]",True,True,,,115,,False,
RRBBW,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RRBH4,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RRE01,RR1+,Adult Renal Centre,True,,False,True,2025-04-08 21:13:37.477,,,,False,
RRE14,RR1+,Adult Renal Centre,True,,False,True,,,116,,False,
RRK02,RR1+,Adult Renal Centre,True,,False,True,2025-04-08 21:19:38.705,,115,,False,
RRK04,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RRS,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RT5DC,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTD01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTD02,RR1+,Paediatric Renal Centre,True,,False,True,,,,,False,
RTD03,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTF67,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTJ,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTK02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTP02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RTRNT,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVL01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVL07,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVNCA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVV11,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVV20,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVVKC,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVVMA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVWAA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RVY01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RW3RM,RR1+,Paediatric Renal Centre,True,,False,True,,,111,,False,
RW402,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RW5CA,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RW602,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RWG02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RWL25,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RWM51,RR1+,Paediatric Renal Centre,True,,False,True,,,,,False,
RWP31,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RX1RA,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
RXC02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXF03,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXJ01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXJ06,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXL06,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXM56,RR1+,Adult Renal Centre,True,,False,True,,,113,,False,
RXQ02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXQ50,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXR01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RXWAT,RR1+,Adult Renal Centre,True,,False,True,,,115,,False,
SAC02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SFC01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SGC02,RR1+,Paediatric Renal Centre,True,,False,True,,,,,False,
SGC04,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SHC01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SLC01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SNC01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SSC02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
SSC04,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
STC01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
